iter	Passed	Remaining
0	146	146786
1	149	74480
2	152	50774
3	155	38827
4	159	31720
5	161	26722
6	163	23159
7	165	20479
8	167	18467
9	169	16813
10	187	16848
11	189	15588
12	192	14609
13	196	13824
14	198	13024
15	200	12320
16	202	11696
17	204	11150
18	206	10656
19	210	10309
20	212	9919
21	214	9544
22	236	10059
23	244	9931
24	247	9643
25	249	9339
26	252	9082
27	254	8820
28	258	8664
29	261	8463
30	263	8233
31	265	8026
32	269	7903
33	276	7858
34	281	7759
35	287	7703
36	290	7549
37	296	7516
38	303	7478
39	305	7329
40	307	7185
41	309	7054
42	312	6944
43	316	6870
44	318	6757
45	321	6663
46	323	6554
47	325	6453
48	327	6354
49	330	6276
50	335	6250
51	339	6189
52	343	6145
53	345	6055
54	353	6070
55	355	5990
56	360	5962
57	363	5896
58	364	5820
59	366	5749
60	368	5678
61	370	5609
62	373	5561
63	396	5796
64	398	5737
65	404	5725
66	406	5662
67	408	5603
68	410	5543
69	412	5483
70	414	5425
71	436	5626
72	439	5576
73	441	5518
74	442	5460
75	447	5438
76	451	5417
77	540	6386
78	542	6321
79	544	6265
80	553	6283
81	555	6222
82	557	6161
83	561	6123
84	566	6102
85	568	6046
86	601	6307
87	603	6252
88	606	6204
89	609	6159
90	611	6105
91	699	6904
92	701	6841
93	703	6778
94	705	6719
95	708	6668
96	714	6647
97	717	6600
98	718	6543
99	721	6489
100	731	6511
101	734	6465
102	736	6416
103	746	6432
104	748	6381
105	818	6901
106	820	6846
107	823	6800
108	829	6778
109	838	6781
110	839	6727
111	844	6699
112	846	6647
113	849	6602
114	878	6757
115	883	6732
116	886	6687
117	946	7076
118	953	7056
119	1004	7363
120	1012	7354
121	1015	7307
122	1019	7269
123	1023	7230
124	1027	7192
125	1030	7150
126	1032	7100
127	1040	7086
128	1047	7075
129	1066	7135
130	1074	7125
131	1077	7086
132	1079	7039
133	1082	6992
134	1086	6959
135	1088	6912
136	1089	6866
137	1096	6851
138	1098	6806
139	1103	6780
140	1106	6743
141	1137	6874
142	1139	6829
143	1141	6783
144	1142	6738
145	1144	6697
146	1146	6654
147	1151	6630
148	1155	6600
149	1158	6562
150	1161	6527
151	1168	6518
152	1171	6487
153	1175	6455
154	1177	6417
